TaskID,TaskType,Name,AvgTime,Urgency,TimeStart,Deadline,Location,IsHobby,Recurrency,BestOn,Involves
1,1,desayunar,40,5,400,1,casa,False,7,morning,
2,3,aspirar la casa,40,5,625,6,mi casa,falso,Tris,mañana,no
3,2,bañarse,45,2,525,1,casa,False,6,morning,
4,3,sacar al perro,30,5,530,2,casa,False,7,morning,perro
5,4,hacer la tarea,60,7,590,5,biblioteca,False,5,afternoon,
6,4,estudiar para el parcial,65,9,600,2,biblioteca,False,2,afternoon,
7,5,hacer estiramientos,10,2,540,7,casa,False,4,morning,
8,6,regar plantas,15,7,605,5,casa,False,2,morning,plantas
9,1,almorzar,40,4,720,1,restaurante,False,7,afternoon,amigos
10,5,hacer ejercicio,50,3,630,4,gimnasio,False,5,afternoon,
11,7,escuchar musica,20,1,660,7,casa,True,2,morning,
12,4,leer documentacion,50,5,645,6,biblioteca,False,4,afternoon,companierosDeClase
13,7,ver netflix,60,3,655,8,casa,True,3,afternoon,
14,8,reunirse con amigos,80,4,780,8,casaAmigos,True,2,afternoon,amigos
15,9,ordenar el cuarto,45,4,750,5,casa,False,5,afternoon,
16,saltar,Salud Física,20,3,800,2,casa,True,2,Morning,
17,aa,Actividad de Mascota,34,4,682,2,casa,False,2,Morning,
18,nadar,Salud Física,30,4,560,3,piscina,True,2,Morning,
19,pasear,Gustos,20,2,750,2,casa,True,3,Morning, 
20,ss,2,23,3,670,3,casa,False,2,Morning, 
21,ssssss,4,50,4,840,3,casa,False,4,Afternoon, 
22,morir,7,20,2,945,1,cementerio,True,3,Afternoon, 
23,frfrfr,3,34,4,936,3,casa,False,4,Morning, 
