TaskID,TaskType,Name,AvgTime,Urgency,TimeStart,Deadline,Location,IsHobby,Recurrency,BestOn,Involves
1.0,1,desayunar,40,5,480,1,casa,False,7,morning,
2.0,2,bañarse,45,2,525,1,casa,False,6,morning,
3.0,3,sacar al perro,30,5,530,2,casa,False,7,morning,perro
4.0,4,hacer la tarea,60,7,590,5,biblioteca,False,5,afternoon,
5.0,4,estudiar para el parcial,65,9,600,2,biblioteca,False,2,afternoon,
6.0,5,hacer estiramientos,10,2,540,7,casa,False,4,morning,
7.0,6,regar plantas,15,7,605,5,casa,False,2,morning,plantas
8.0,1,almorzar,40,4,720,1,restaurante,False,7,afternoon,amigos
9.0,5,hacer ejercicio,50,3,630,4,gimnasio,False,5,afternoon,
10.0,7,escuchar musica,20,1,660,7,casa,True,2,morning,
11.0,4,leer documentacion,50,5,645,6,biblioteca,False,4,afternoon,companierosDeClase
12.0,7,ver netflix,60,3,655,8,casa,True,3,afternoon,
13.0,8,reunirse con amigos,80,4,780,8,casaAmigos,True,2,afternoon,amigos
14.0,9,ordenar el cuarto,45,4,750,5,casa,False,5,afternoon,
15.0,3,jugar con el perro,30,6,780,7,casa,False,6,morning,perro
16.0,3,aspirar la casa,40,5,10:25,6,mi casa,falso,Tris,mañana,no
